# key\tvalue\tscore
# key: pinyin (no spaces/tones)

shiting	是听	3
shishuo	是说	3
shixie	是谢	3
shiqing	是请	3
shidui	是对	3
shicuo	是错	3
shizhong	是中	3
shiguo	是国	3
shiren	是人	3
shitian	是天	3
shiqi	是气	3
shijin	是今	3
shiming	是明	3
shizuo	是昨	3
shiwan	是晚	3
shizao	是早	3
shishang	是上	3
shixia	是下	3
shidian	是点	3
shinian	是年	3
shiyue	是月	3
shiri	是日	3
shisheng	是生	3
shigong	是工	3
shixue	是学	3
shixi	是习	3
shijia	是家	3
shipeng	是朋	3
shilao	是老	3
shitong	是同	3
shixiao	是小	3
shida	是大	3
shiduo	是多	3
shishao	是少	3
shimei	是没	3
shizhen	是真	3
shipiao	是漂	3
shiliang	是亮	3
shigao	是高	3
shixing	是兴	3
shihe	是喝	3
shichi	是吃	3
shifan	是饭	3
shishui	是水	3
shimen	是们	3
shima	是吗	3
shina	是那	3
shizhe	是这	3
shizen	是怎	3
shiwei	是为	3
shiyin	是因	3
shisuo	是所	3
shike	是可	3
deni	的你	3
dehao	的好	3
dewo	的我	3
deshi	的是	3
dede	的的	3
debu	的不	3
dezai	的在	3
deyou	的有	3
dehen	的很	3
dexiang	的想	3
deyao	的要	3
dequ	的去	3
delai	的来	3
dehui	的会	3
dekan	的看	3
deting	的听	3
deshuo	的说	3
dexie	的谢	3
deqing	的请	3
dedui	的对	3
decuo	的错	3
dezhong	的中	3
deguo	的国	3
deren	的人	3
detian	的天	3
deqi	的气	3
dejin	的今	3
deming	的明	3
dezuo	的昨	3
dewan	的晚	3
dezao	的早	3
deshang	的上	3
dexia	的下	3
dedian	的点	3
denian	的年	3
deyue	的月	3
deri	的日	3
desheng	的生	3
degong	的工	3
dexue	的学	3
dexi	的习	3
dejia	的家	3
depeng	的朋	3
delao	的老	3
detong	的同	3
dexiao	的小	3
deda	的大	3
deduo	的多	3
deshao	的少	3
demei	的没	3
dezhen	的真	3
depiao	的漂	3
deliang	的亮	3
degao	的高	3
dexing	的兴	3
dehe	的喝	3
dechi	的吃	3
defan	的饭	3
deshui	的水	3
demen	的们	3
dema	的吗	3
dena	的那	3
dezhe	的这	3
dezen	的怎	3
dewei	的为	3
deyin	的因	3
desuo	的所	3
deke	的可	3
buni	不你	3
buhao	不好	3
buwo	不我	3
bude	不的	3
bubu	不不	3
buzai	不在	3
buyou	不有	3
buhen	不很	3
buxiang	不想	3
buyao	不要	3
buqu	不去	3
bulai	不来	3
buhui	不会	3
bukan	不看	3
buting	不听	3
bushuo	不说	3
buxie	不谢	3
buqing	不请	3
budui	不对	3
bucuo	不错	3
buzhong	不中	3
buguo	不国	3
buren	不人	3
butian	不天	3
buqi	不气	3
bujin	不今	3
buming	不明	3
buzuo	不昨	3
buwan	不晚	3
buzao	不早	3
bushang	不上	3
buxia	不下	3
budian	不点	3
bunian	不年	3
buyue	不月	3
buri	不日	3
busheng	不生	3
bugong	不工	3
buxue	不学	3
buxi	不习	3
bujia	不家	3
bupeng	不朋	3
bulao	不老	3
butong	不同	3
buxiao	不小	3
buda	不大	3
buduo	不多	3
bushao	不少	3
bumei	不没	3
buzhen	不真	3
bupiao	不漂	3
buliang	不亮	3
bugao	不高	3
buxing	不兴	3
buhe	不喝	3
buchi	不吃	3
bufan	不饭	3
bushui	不水	3
bumen	不们	3
buma	不吗	3
buna	不那	3
buzhe	不这	3
buzen	不怎	3
buwei	不为	3
buyin	不因	3
busuo	不所	3
buke	不可	3
zaini	在你	3
zaihao	在好	3
zaiwo	在我	3
zaishi	在是	3
zaide	在的	3
zaibu	在不	3
zaizai	在在	3
zaiyou	在有	3
zaihen	在很	3
zaixiang	在想	3
zaiyao	在要	3
zaiqu	在去	3
zailai	在来	3
zaihui	在会	3
zaikan	在看	3
zaiting	在听	3
zaishuo	在说	3
zaixie	在谢	3
zaiqing	在请	3
zaidui	在对	3
zaicuo	在错	3
zaizhong	在中	3
zaiguo	在国	3
zairen	在人	3
zaitian	在天	3
zaiqi	在气	3
zaijin	在今	3
zaiming	在明	3
zaizuo	在昨	3
zaiwan	在晚	3
zaizao	在早	3
zaishang	在上	3
zaixia	在下	3
zaidian	在点	3
zainian	在年	3
zaiyue	在月	3
zairi	在日	3
zaisheng	在生	3
zaigong	在工	3
zaixue	在学	3
zaixi	在习	3
zaijia	在家	3
zaipeng	在朋	3
zailao	在老	3
zaitong	在同	3
zaixiao	在小	3
zaida	在大	3
zaiduo	在多	3
zaishao	在少	3
zaimei	在没	3
zaizhen	在真	3
zaipiao	在漂	3
zailiang	在亮	3
zaigao	在高	3
zaixing	在兴	3
zaihe	在喝	3
zaichi	在吃	3
zaifan	在饭	3
zaishui	在水	3
zaimen	在们	3
zaima	在吗	3
zaina	在那	3
zaizhe	在这	3
zaizen	在怎	3
zaiwei	在为	3
zaiyin	在因	3
zaisuo	在所	3
zaike	在可	3
youni	有你	3
youhao	有好	3
youwo	有我	3
youshi	有是	3
youde	有的	3
youbu	有不	3
youzai	有在	3
youyou	有有	3
youhen	有很	3
youxiang	有想	3
youyao	有要	3
youqu	有去	3
youlai	有来	3
youhui	有会	3
youkan	有看	3
youting	有听	3
youshuo	有说	3
youxie	有谢	3
youqing	有请	3
youdui	有对	3
youcuo	有错	3
youzhong	有中	3
youguo	有国	3
youren	有人	3
youtian	有天	3
youqi	有气	3
youjin	有今	3
youming	有明	3
youzuo	有昨	3
youwan	有晚	3
youzao	有早	3
youshang	有上	3
youxia	有下	3
youdian	有点	3
younian	有年	3
youyue	有月	3
youri	有日	3
yousheng	有生	3
yougong	有工	3
youxue	有学	3
youxi	有习	3
youjia	有家	3
youpeng	有朋	3
youlao	有老	3
youtong	有同	3
youxiao	有小	3
youda	有大	3
youduo	有多	3
youshao	有少	3
youmei	有没	3
youzhen	有真	3
youpiao	有漂	3
youliang	有亮	3
yougao	有高	3
youxing	有兴	3
youhe	有喝	3
youchi	有吃	3
youfan	有饭	3
